Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
HCLTECH,03-Sep-24,1.96,0.5,0.5,0.5,0.5,"50,000","25,000.00",4
HCLTECH,02-Sep-24,2,2,2,1.94,1.96,"4,200","8,321.00",5
HCLTECH,02-Sep-24,1.74,3.48,3.48,2.99,2.99,50,162,10
HCLTECH,29-Aug-24,0.55,1.1,1.98,1.1,1.74,298,495,10
HCLTECH,27-Aug-24,1.8,0.5,1.75,0.5,0.55,"33,450","38,175.00",67
HCLTECH,27-Aug-24,2.95,2,2,2,2,"4,000","8,000.00",3
HCLTECH,26-Aug-24,2,2,2,1.8,1.8,800,"1,580.00",6
HCLTECH,26-Aug-24,0.5,1.45,2.99,1.45,2.95,"7,700","19,064.00",21
HCLTECH,23-Aug-24,0.5,2,2,2,2,"2,150","4,300.00",3
HCLTECH,21-Aug-24,0.55,0.5,0.5,0.5,0.5,15,8,1
HCLTECH,20-Aug-24,0.55,0.7,0.7,0.55,0.55,"4,200","2,625.00",5
HCLTECH,14-Aug-24,0.45,0.5,0.5,0.5,0.5,"25,000","12,500.00",1
HCLTECH,13-Aug-24,0.5,0.7,0.7,0.55,0.55,"2,450","1,648.00",4
HCLTECH,31-Jul-24,1.99,0.45,0.45,0.45,0.45,45,20,2
HCLTECH,26-Jul-24,1.5,2.99,2.99,2.99,2.99,10,30,1
HCLTECH,19-Jul-24,2.93,2.5,2.5,1.5,1.5,"4,556","7,771.00",15
HCLTECH,18-Jul-24,1.74,1.75,2.93,1.75,2.93,"1,050","2,582.00",8
HCLTECH,12-Jul-24,1.75,1.75,1.75,1.74,1.74,40,70,8
HCLTECH,12-Jul-24,0.9,1.99,1.99,1.99,1.99,"1,050","2,090.00",3
HCLTECH,11-Jul-24,0.9,1.75,1.75,1.75,1.75,215,376,2
HCLTECH,05-Jul-24,0.54,1,1,0.85,0.9,"16,100","15,538.00",42
HCLTECH,05-Jul-24,1.98,0.9,0.9,0.9,0.9,50,45,1
HCLTECH,04-Jul-24,1,1.45,1.48,0.5,0.54,"4,550","3,446.00",14
HCLTECH,03-Jul-24,1.5,1,1,1,1,"1,400","1,400.00",4
HCLTECH,02-Jul-24,0.45,1.49,1.5,1.49,1.5,"2,100","3,141.00",5
HCLTECH,01-Jul-24,0.55,0.45,0.45,0.45,0.45,"2,225","1,001.00",5
HCLTECH,28-Jun-24,0.5,0.55,0.55,0.55,0.55,"6,900","3,795.00",11
HCLTECH,22-Jun-24,1.98,"1,000.00","1,000.00","1,000.00","1,000.00",100,"1,00,000.00",1
HCLTECH,22-Jun-24,10.5,10,10,10,10,160,"1,600.00",16
HCLTECH,22-Jun-24,10,10,10,10,10,160,"1,600.00",16
HCLTECH,22-Jun-24,1,10,10,10,10,160,"1,600.00",16
HCLTECH,11-Jun-24,1.99,1.98,1.98,1.98,1.98,10,20,1
HCLTECH,03-Jun-24,1.98,1.99,1.99,1.99,1.99,142,283,1
HCLTECH,30-May-24,0.99,1.98,1.98,1.98,1.98,350,693,1
HCLTECH,25-Apr-24,0.98,0.5,0.5,0.5,0.5,"4,200","2,100.00",4
HCLTECH,16-Apr-24,1.09,1.98,1.98,1.98,1.98,43,85,1
HCLTECH,02-Apr-24,1.2,1.09,1.09,1.09,1.09,40,44,1
HCLTECH,27-Mar-24,0.55,1.2,1.2,1.2,1.2,548,658,1
HCLTECH,27-Mar-24,1.99,0.35,0.35,0.35,0.35,380,133,1
HCLTECH,26-Mar-24,0.55,0.55,0.55,0.55,0.55,"2,100","1,155.00",5
HCLTECH,22-Mar-24,0.51,0.55,0.55,0.55,0.55,"2,100","1,155.00",3
HCLTECH,13-Mar-24,2.4,1.99,1.99,1.99,1.99,285,567,1
HCLTECH,07-Mar-24,0.99,0.51,0.51,0.51,0.51,40,20,1
HCLTECH,06-Mar-24,2.5,2.4,2.4,2.4,2.4,1,2,1
HCLTECH,04-Mar-24,0.71,2.5,2.5,2.5,2.5,75,188,1
HCLTECH,01-Mar-24,1.99,2.98,2.98,2.98,2.98,150,447,1
HCLTECH,29-Feb-24,2.93,1.98,2,1.98,1.99,300,597,4
HCLTECH,22-Feb-24,2,0.71,0.71,0.71,0.71,150,107,1
HCLTECH,21-Feb-24,1.7,2.93,2.93,2.93,2.93,26,76,1
HCLTECH,14-Feb-24,1.5,1.7,1.7,1.7,1.7,42,71,1
HCLTECH,13-Feb-24,1.9,1.5,1.5,1.25,1.5,"17,701","26,465.00",15
HCLTECH,13-Feb-24,1.89,1.5,2,1.5,2,"4,437","7,349.00",12
HCLTECH,12-Feb-24,0.98,1,1.89,1,1.89,"1,400","1,934.00",4
HCLTECH,12-Feb-24,1.94,0.5,1.9,0.5,1.9,"13,087","23,015.00",23
HCLTECH,09-Feb-24,0.97,1.94,1.94,1.94,1.94,18,35,1
HCLTECH,08-Feb-24,0.5,0.5,1,0.5,0.97,"49,015","26,506.00",13
HCLTECH,07-Feb-24,0.5,0.5,0.5,0.5,0.5,"67,000","33,500.00",4
HCLTECH,06-Feb-24,1.46,0.5,0.5,0.5,0.5,"19,114","9,557.00",33
HCLTECH,25-Jan-24,0.98,1.1,2.5,1.1,1.46,"2,108","3,092.00",3
HCLTECH,25-Jan-24,1.49,1,1,0.99,1,"7,000","6,985.00",6
HCLTECH,16-Jan-24,1,1.49,1.49,1.49,1.49,169,252,1
HCLTECH,11-Jan-24,0.98,0.97,1,0.97,1,"2,091","2,089.00",3
HCLTECH,20-Dec-23,1.98,1.99,1.99,1.99,1.99,150,299,1
HCLTECH,19-Dec-23,1.99,1.98,1.98,1.98,1.98,8,16,1
HCLTECH,18-Dec-23,1,1.98,1.99,1.98,1.99,"1,501","2,986.00",2
HCLTECH,15-Dec-23,1.74,1,1,1,1,"1,000","1,000.00",2
HCLTECH,07-Dec-23,1.99,1,1.74,1,1.74,10,14,2
HCLTECH,30-Nov-23,0.5,0.5,0.5,0.5,0.5,"3,500","1,750.00",4
HCLTECH,29-Nov-23,0.5,0.5,0.5,0.5,0.5,151,76,1
HCLTECH,25-Nov-23,0.5,900,900,900,900,100,"90,000.00",1
HCLTECH,10-Nov-23,2,1.99,1.99,1.99,1.99,4,8,1
HCLTECH,03-Nov-23,0.49,0.5,0.5,0.5,0.5,"80,000","40,000.00",8
HCLTECH,02-Nov-23,0.25,0.5,0.5,0.49,0.49,"1,25,000","62,250.00",4
HCLTECH,01-Nov-23,0.25,0.25,0.25,0.25,0.25,"75,000","18,750.00",3
HCLTECH,31-Oct-23,1.94,0.25,0.25,0.25,0.25,"25,000","6,250.00",1
HCLTECH,30-Oct-23,1,1.94,1.94,1.94,1.94,100,194,1
HCLTECH,11-Oct-23,1,1,1,1,1,"1,400","1,400.00",1
HCLTECH,04-Oct-23,1,1,1,1,1,142,142,1
HCLTECH,28-Sep-23,1,1,1,1,1,78,78,1
HCLTECH,27-Sep-23,0.5,1,1,1,1,200,200,1
HCLTECH,21-Sep-23,0.5,0.5,0.5,0.5,0.5,"3,500","1,750.00",3
HCLTECH,18-Sep-23,0.25,0.5,0.5,0.5,0.5,"3,500","1,750.00",5
HCLTECH,15-Sep-23,1.95,0.5,0.5,0.5,0.5,700,350,2
HCLTECH,04-Sep-23,0.94,1.95,1.95,1.95,1.95,50,98,1
HCLTECH,31-Aug-23,1,1.98,1.98,1.98,1.98,100,198,1
HCLTECH,07-Aug-23,1.5,1,1,1,1,150,150,1
HCLTECH,24-Jul-23,0.99,1.5,1.5,1.5,1.5,"1,014","1,521.00",1
HCLTECH,17-Jul-23,0.5,0.5,0.5,0.5,0.5,700,350,2
HCLTECH,12-Jul-23,1.5,0.5,0.5,0.5,0.5,"1,400",700,3
HCLTECH,04-Jul-23,1.95,1.5,1.5,1.5,1.5,921,"1,382.00",2
HCLTECH,03-Jul-23,1.99,1.95,1.95,1.95,1.95,8,16,1
HCLTECH,28-Jun-23,0.5,1.99,1.99,1.99,1.99,700,"1,393.00",1
HCLTECH,22-Jun-23,1,0.99,0.99,0.99,0.99,362,358,2
HCLTECH,20-Jun-23,1.5,1,1,1,1,57,57,1
HCLTECH,19-Jun-23,0.73,1.5,1.5,1.5,1.5,198,297,1
HCLTECH,18-May-23,0.98,0.98,0.98,0.98,0.98,40,39,1
HCLTECH,17-May-23,0.5,0.98,0.98,0.98,0.98,372,365,1
HCLTECH,21-Apr-23,1,0.99,0.99,0.99,0.99,434,430,1
HCLTECH,13-Apr-23,0.99,1,1,1,1,390,390,1
HCLTECH,05-Apr-23,1,0.99,0.99,0.99,0.99,164,162,1
HCLTECH,16-Mar-23,0.98,0.9,0.98,0.9,0.98,234,225,2
HCLTECH,13-Mar-23,0.94,0.98,0.98,0.98,0.98,325,319,1
